yyyy,mm,tmax,tmin,af,rain,sun
1883.0,1.0,6.3,1.7,6.0,122.1,nan
1883.0,2.0,8.0,2.8,2.0,69.8,nan
1883.0,3.0,4.8,-1.6,23.0,29.6,nan
1883.0,4.0,12.2,3.8,2.0,74.0,nan
1883.0,5.0,14.7,6.2,0.0,31.2,nan
1883.0,6.0,17.7,9.3,0.0,66.2,nan
1883.0,7.0,18.8,10.5,0.0,77.6,nan
1883.0,8.0,19.8,10.9,0.0,32.5,nan
1883.0,9.0,16.8,10.0,0.0,137.4,nan
1883.0,10.0,12.7,6.4,0.0,102.9,nan
1883.0,11.0,8.6,3.5,1.0,83.6,nan
1883.0,12.0,7.3,2.4,4.0,48.6,nan
1884.0,1.0,8.4,3.5,3.0,127.7,nan
1884.0,2.0,8.0,2.1,3.0,49.4,nan
1884.0,3.0,9.5,2.5,4.0,50.4,nan
1884.0,4.0,10.6,3.3,4.0,48.0,nan
1884.0,5.0,15.7,6.4,0.0,33.1,nan
1884.0,6.0,18.2,8.7,0.0,39.7,nan
1884.0,7.0,20.8,11.8,0.0,80.1,nan
1884.0,8.0,22.6,11.8,0.0,36.8,nan
1884.0,9.0,18.4,10.5,0.0,34.0,nan
1884.0,10.0,12.3,6.3,0.0,36.5,nan
1884.0,11.0,9.0,3.4,4.0,30.9,nan
1884.0,12.0,6.6,1.7,7.0,81.6,nan
1885.0,1.0,4.7,0.4,15.0,56.9,nan
1885.0,2.0,8.5,2.4,5.0,76.4,nan
1885.0,3.0,7.8,0.8,10.0,41.6,nan
1885.0,4.0,11.6,3.4,3.0,49.5,nan
1885.0,5.0,12.9,4.4,0.0,58.1,nan
1885.0,6.0,18.6,9.2,0.0,76.4,nan
1885.0,7.0,21.0,11.4,0.0,17.8,nan
1885.0,8.0,17.1,9.4,0.0,59.5,nan
1885.0,9.0,16.4,7.8,0.0,85.3,nan
1885.0,10.0,10.5,4.5,0.0,172.5,nan
1885.0,11.0,8.0,3.3,4.0,62.2,nan
1885.0,12.0,7.0,0.9,11.0,31.9,nan
1886.0,1.0,4.5,-0.7,20.0,121.8,nan
1886.0,2.0,3.9,-1.0,20.0,14.2,nan
1886.0,3.0,6.1,0.2,18.0,84.8,nan
1886.0,4.0,10.9,2.8,2.0,47.5,nan
1886.0,5.0,13.9,5.7,0.0,181.0,nan
1886.0,6.0,17.3,8.5,0.0,26.5,nan
1886.0,7.0,20.8,11.5,0.0,94.2,nan
1886.0,8.0,20.8,11.7,0.0,49.7,nan
1886.0,9.0,17.7,9.8,0.0,30.8,nan
1886.0,10.0,13.8,8.1,0.0,125.1,nan
1886.0,11.0,9.7,3.8,0.0,37.0,nan
1886.0,12.0,4.9,-0.5,12.0,127.7,nan
1887.0,1.0,5.1,-0.6,16.0,61.2,nan
1887.0,2.0,7.5,0.6,12.0,13.6,nan
1887.0,3.0,7.1,0.1,16.0,42.5,nan
1887.0,4.0,11.0,5.1,0.0,26.3,nan
1887.0,5.0,12.3,5.3,0.0,46.6,nan
1887.0,6.0,21.0,10.2,0.0,11.2,nan
1887.0,7.0,23.7,12.6,0.0,25.2,nan
1887.0,8.0,20.7,10.6,0.0,40.7,nan
1887.0,9.0,15.3,8.0,0.0,57.2,nan
1887.0,10.0,10.6,4.4,4.0,58.8,nan
1887.0,11.0,7.6,2.6,7.0,41.0,nan
1887.0,12.0,6.2,0.4,15.0,66.8,nan
1888.0,1.0,6.4,1.0,14.0,22.1,nan
1888.0,2.0,4.0,0.0,21.0,49.5,nan
1888.0,3.0,5.3,-0.1,19.0,98.1,nan
1888.0,4.0,8.9,2.7,8.0,52.6,nan
1888.0,5.0,15.8,6.1,0.0,16.3,nan
1888.0,6.0,16.9,8.4,0.0,61.8,nan
1888.0,7.0,16.2,9.6,0.0,129.3,nan
1888.0,8.0,18.0,10.2,0.0,61.1,nan
1888.0,9.0,16.0,8.8,0.0,22.9,nan
1888.0,10.0,11.8,4.5,3.0,17.4,nan
1888.0,11.0,9.7,4.9,0.0,160.2,nan
1888.0,12.0,7.7,2.7,6.0,52.2,nan
1889.0,1.0,6.1,0.9,9.0,39.0,nan
1889.0,2.0,6.0,0.6,14.0,50.8,nan
1889.0,3.0,7.5,1.4,9.0,107.6,nan
1889.0,4.0,9.9,3.6,0.0,92.0,nan
1889.0,5.0,16.4,8.4,0.0,97.7,nan
1889.0,6.0,20.0,10.5,0.0,6.1,nan
1889.0,7.0,18.7,10.8,0.0,62.8,nan
1889.0,8.0,18.7,11.3,0.0,69.6,nan
1889.0,9.0,16.1,9.5,0.0,46.8,nan
1889.0,10.0,11.2,5.5,0.0,100.1,nan
1889.0,11.0,9.4,4.4,4.0,18.2,nan
1889.0,12.0,6.4,1.4,10.0,39.4,nan
1890.0,1.0,8.6,2.3,3.0,103.7,nan
1890.0,2.0,5.7,1.1,10.0,21.4,nan
1890.0,3.0,9.6,3.0,8.0,62.9,nan
1890.0,4.0,9.9,2.9,2.0,20.8,nan
1890.0,5.0,16.2,6.8,0.0,79.9,nan
1890.0,6.0,17.2,10.0,0.0,48.4,nan
1890.0,7.0,17.7,10.8,0.0,57.4,nan
1890.0,8.0,18.0,10.8,0.0,78.2,nan
1890.0,9.0,19.4,11.0,0.0,37.5,nan
1890.0,10.0,13.5,7.0,1.0,37.1,nan
1890.0,11.0,9.0,2.8,6.0,122.4,nan
1890.0,12.0,1.9,-2.3,25.0,16.8,nan
1891.0,1.0,4.4,-0.8,18.0,59.5,nan
1891.0,2.0,8.8,1.4,9.0,1.8,nan
1891.0,3.0,7.0,1.1,10.0,53.6,nan
1891.0,4.0,8.5,1.9,3.0,53.0,nan
1891.0,5.0,13.1,5.3,1.0,86.8,nan
1891.0,6.0,18.0,9.7,0.0,89.2,nan
1891.0,7.0,18.9,11.0,0.0,57.6,nan
1891.0,8.0,17.5,10.9,0.0,83.5,nan
1891.0,9.0,18.3,10.4,0.0,58.5,nan
1891.0,10.0,12.8,6.1,0.0,102.6,nan
1891.0,11.0,8.1,3.1,6.0,71.3,nan
1891.0,12.0,7.1,1.0,9.0,161.4,nan
1892.0,1.0,4.3,0.1,15.0,63.1,nan
1892.0,2.0,5.4,0.4,12.0,89.8,nan
1892.0,3.0,5.7,-0.7,20.0,33.7,nan
1892.0,4.0,12.0,2.4,7.0,24.0,nan
1892.0,5.0,15.2,6.8,0.0,102.4,nan
1892.0,6.0,17.1,8.8,0.0,104.0,nan
1892.0,7.0,16.8,9.8,0.0,80.2,nan
1892.0,8.0,19.1,11.1,0.0,69.1,nan
1892.0,9.0,15.8,8.7,0.0,88.6,nan
1892.0,10.0,10.3,4.1,2.0,143.7,nan
1892.0,11.0,9.0,3.9,4.0,44.2,nan
1892.0,12.0,4.8,-0.3,16.0,22.8,nan
1893.0,1.0,4.6,0.4,14.0,47.2,nan
1893.0,2.0,7.0,1.6,7.0,112.0,nan
1893.0,3.0,12.6,3.4,5.0,19.8,nan
1893.0,4.0,15.1,3.8,0.0,19.5,nan
1893.0,5.0,16.9,7.4,0.0,73.7,nan
1893.0,6.0,19.3,10.0,0.0,34.0,nan
1893.0,7.0,19.9,11.5,0.0,77.3,nan
1893.0,8.0,21.9,12.7,0.0,40.7,nan
1893.0,9.0,16.7,8.8,0.0,31.2,nan
1893.0,10.0,13.8,6.5,1.0,45.9,nan
1893.0,11.0,8.1,2.0,7.0,49.1,nan
1893.0,12.0,7.8,1.8,7.0,104.5,nan
1894.0,1.0,5.6,0.6,11.0,77.1,nan
1894.0,2.0,8.4,1.5,9.0,132.1,nan
1894.0,3.0,10.9,1.8,5.0,48.4,nan
1894.0,4.0,13.1,5.1,0.0,70.0,nan
1894.0,5.0,12.2,4.8,1.0,49.1,nan
1894.0,6.0,17.4,9.4,0.0,60.6,nan
1894.0,7.0,20.3,11.2,0.0,83.0,nan
1894.0,8.0,17.3,10.6,0.0,54.5,nan
1894.0,9.0,14.4,8.5,0.0,26.1,nan
1894.0,10.0,11.7,6.0,2.0,128.2,nan
1894.0,11.0,10.5,5.7,0.0,37.6,nan
1894.0,12.0,7.8,2.8,5.0,64.8,nan
1895.0,1.0,2.0,-2.5,23.0,115.5,nan
1895.0,2.0,1.6,-4.2,24.0,5.8,nan
1895.0,3.0,8.6,2.1,7.0,56.6,nan
1895.0,4.0,12.2,4.2,5.0,49.6,nan
1895.0,5.0,16.9,7.0,0.0,28.8,nan
1895.0,6.0,19.2,9.6,0.0,57.1,nan
1895.0,7.0,19.0,11.4,0.0,112.4,nan
1895.0,8.0,20.0,12.0,0.0,55.5,nan
1895.0,9.0,21.0,10.7,0.0,19.9,nan
1895.0,10.0,10.8,3.9,6.0,87.3,nan
1895.0,11.0,10.0,4.7,1.0,114.5,nan
1895.0,12.0,5.8,1.5,10.0,95.1,nan
1896.0,1.0,7.4,3.0,5.0,29.7,nan
1896.0,2.0,7.5,2.0,8.0,28.8,nan
1896.0,3.0,9.8,3.1,1.0,89.5,nan
1896.0,4.0,12.6,5.3,0.0,46.0,nan
1896.0,5.0,16.4,6.6,0.0,10.4,nan
1896.0,6.0,20.4,11.2,0.0,79.1,nan
1896.0,7.0,20.6,11.7,0.0,23.6,nan
1896.0,8.0,17.3,10.6,0.0,43.6,nan
1896.0,9.0,15.8,9.6,0.0,126.8,nan
1896.0,10.0,9.8,4.0,0.0,76.9,nan
1896.0,11.0,7.4,2.5,4.0,28.8,nan
1896.0,12.0,6.2,1.9,9.0,98.6,nan
1897.0,1.0,3.2,-0.8,17.0,65.8,nan
1897.0,2.0,7.5,3.1,9.0,96.5,nan
1897.0,3.0,9.5,3.3,2.0,92.7,nan
1897.0,4.0,10.0,2.9,5.0,51.4,nan
1897.0,5.0,14.3,5.1,0.0,26.3,nan
1897.0,6.0,19.1,10.2,0.0,90.9,nan
1897.0,7.0,20.3,11.3,0.0,14.0,nan
1897.0,8.0,20.7,11.5,0.0,55.7,nan
1897.0,9.0,15.6,8.5,0.0,60.1,nan
1897.0,10.0,13.0,6.5,0.0,26.1,nan
1897.0,11.0,9.9,5.2,0.0,82.5,nan
1897.0,12.0,7.9,2.3,4.0,81.8,nan
1898.0,1.0,9.3,4.5,1.0,28.4,nan
1898.0,2.0,7.5,1.8,8.0,58.5,nan
1898.0,3.0,7.4,1.0,10.0,40.8,nan
1898.0,4.0,11.9,4.2,1.0,82.9,nan
1898.0,5.0,13.0,5.9,0.0,66.9,nan
1898.0,6.0,17.6,9.2,0.0,32.3,nan
1898.0,7.0,19.4,10.9,0.0,41.7,nan
1898.0,8.0,20.5,11.9,0.0,86.2,nan
1898.0,9.0,19.7,10.9,0.0,13.8,nan
1898.0,10.0,14.2,8.6,0.0,84.0,nan
1898.0,11.0,9.6,4.8,2.0,71.9,nan
1898.0,12.0,9.6,4.5,3.0,81.7,nan
1899.0,1.0,7.3,2.2,7.0,112.3,nan
1899.0,2.0,8.1,1.8,11.0,51.2,nan
1899.0,3.0,9.3,1.6,11.0,31.9,nan
1899.0,4.0,11.0,4.4,1.0,60.1,nan
1899.0,5.0,13.4,5.1,0.0,63.7,nan
1899.0,6.0,20.1,10.2,0.0,63.8,nan
1899.0,7.0,21.2,13.0,0.0,51.4,nan
1899.0,8.0,22.0,12.4,0.0,23.0,nan
1899.0,9.0,16.6,9.6,0.0,97.7,nan
1899.0,10.0,13.5,5.9,1.0,73.3,nan
1899.0,11.0,11.2,6.2,2.0,50.7,nan
1899.0,12.0,4.5,-0.1,15.0,73.0,nan
1900.0,1.0,6.2,2.1,1.0,101.0,nan
1900.0,2.0,5.0,-0.2,14.0,113.0,nan
1900.0,3.0,6.0,0.7,10.0,20.4,nan
1900.0,4.0,12.7,3.9,4.0,36.0,nan
1900.0,5.0,13.6,6.0,0.0,43.7,nan
1900.0,6.0,18.9,10.5,0.0,78.2,nan
1900.0,7.0,22.5,13.3,0.0,71.5,nan
1900.0,8.0,18.7,11.3,0.0,109.5,nan
1900.0,9.0,17.7,9.6,0.0,12.9,nan
1900.0,10.0,13.0,6.5,0.0,66.6,nan
1900.0,11.0,9.1,5.1,0.0,67.7,nan
1900.0,12.0,9.4,4.8,0.0,116.7,nan
1901.0,1.0,5.5,0.7,12.0,64.6,nan
1901.0,2.0,4.7,0.4,14.0,29.2,nan
1901.0,3.0,7.0,1.0,11.0,60.4,nan
1901.0,4.0,13.1,3.9,1.0,43.8,nan
1901.0,5.0,15.9,6.3,0.0,23.9,nan
1901.0,6.0,18.3,9.2,0.0,27.5,nan
1901.0,7.0,22.6,13.5,0.0,82.1,nan
1901.0,8.0,20.6,11.9,0.0,30.7,nan
1901.0,9.0,17.3,10.0,0.0,22.0,nan
1901.0,10.0,12.7,5.9,1.0,50.2,nan
1901.0,11.0,8.2,2.9,10.0,112.0,nan
1901.0,12.0,5.5,1.2,11.0,164.2,nan
1902.0,1.0,7.3,2.5,11.0,37.6,nan
1902.0,2.0,3.7,-0.8,17.0,44.5,nan
1902.0,3.0,10.5,3.6,1.0,38.4,nan
1902.0,4.0,11.2,3.1,1.0,74.4,nan
1902.0,5.0,11.9,5.1,0.0,75.0,nan
1902.0,6.0,17.8,9.3,0.0,43.4,nan
1902.0,7.0,18.4,10.4,0.0,51.4,nan
1902.0,8.0,17.2,9.9,0.0,120.4,nan
1902.0,9.0,16.5,9.2,0.0,50.9,nan
1902.0,10.0,12.1,6.9,0.0,81.4,nan
1902.0,11.0,9.1,4.6,2.0,63.6,nan
1902.0,12.0,7.0,2.7,8.0,68.2,nan
1903.0,1.0,6.3,1.8,8.0,90.3,nan
1903.0,2.0,9.6,4.1,1.0,66.4,nan
1903.0,3.0,10.4,3.4,0.0,97.2,nan
1903.0,4.0,10.0,2.7,7.0,48.4,nan
1903.0,5.0,14.0,6.5,0.0,97.4,nan
1903.0,6.0,17.0,8.7,0.0,30.1,nan
